,Comment.1,AustralianSuperMainFund,polarity,subjectivity
3644,It seems to perform well and fees aren't too high,8.0,0.16,0.54
3645,"Relatively good performance, low fees and informative.",9.0,0.35,0.45
3646,The online services and excellent support,8.0,1.0,1.0
3647,I find it very poor that since the upgrade of your web site I cannot view my transaction history. I have complained about this on nurmerous times and you can not tell me when it will be fixed,4.0,-0.24,0.39
3648,I have hardly received any performance information about my account from australian super. Therefore I am not in a position to recommend it to anyone.,0.0,0.01,0.4
3649,not sure,5.0,-0.25,0.89
3650,"investment returns, ease of online access, ease of management of funds",10.0,0.0,0.0
3651,Australian Super returns are on the higher end of Super Funds performance and they have been easy to deal with. Thanks,7.0,0.26,0.48
3652,Don't know much about it,0.0,0.2,0.2
3653,Australia super is the oldest and have good profit and trustworthy super,10.0,0.46,0.64
3654,Quality of Service and strong returns.,10.0,0.43,0.73
3656,Coz i'm just almost 1 year on.Australian Super,8.0,0.33,0.67
3657,Helpful in phone,10.0,0.0,0.0
3658,You approved of the governments changes to existing super pensions.,0.0,0.33,0.67
3659,"Great service, friendly phone service and good online.",9.0,0.62,0.62
3660,dont usually discuss,0.0,-0.25,0.25
3661,OK,6.0,0.5,0.5
3662,Great customer service,9.0,0.8,0.75
3663,Bad experience and service with a direct debit request in Nov/Dec 2016 - still considering moving to another fund.,4.0,-0.3,0.53
3664,no,7.0,0.0,0.0
3665,"Seems good, however I had awful trouble trying to connect to my account once that I couldnt log in for months (and didnt have time to try and call the call centre). When I finally managed to reset my password recently, the UI told me that the password had to be 8-40 characters. I created a long and secure password but was not accepted. Only after hovering over the password field did it say ""password must be 8 characters"". I created an 8 character password and that was accepted. A Max 8 character password is not acceptable for security. Please allow more secure passwords.",6.0,0.07,0.61
3667,"not enough information about my fund when I log on, I should be able to see graphs or a worm graft on how my super is going",3.0,0.28,0.6
3668,Low overhead costs and high performing,10.0,0.08,0.42
3669,"Happy with returns, fees and communication",9.0,0.8,1.0
3670,We have a very helpful account manager from Australiansuper,8.0,0.2,0.3
3671,large fund which delivers economies of scale,9.0,0.21,0.43
3672,I am happy with the return I have been getting over the last few years. I can access my account easily and I can monitor the progress.,10.0,0.26,0.5
3673,Australian.,8.0,0.0,0.0
3674,"better investment performance, australian based customer service, phones answered by humans promptly, helpful customer service staff, easy to deal with the organisation",10.0,0.31,0.44
3675,Good services and results,10.0,0.7,0.6
3676,Because you always keep us up to date on changes and I have been to retirement planning organized by Super fund.,9.0,0.33,0.67
3677,Australian Super keeps me up to date with all issues relating to super.,8.0,0.22,0.44
3678,Seem to perform better than other funds in increasing my superannuation amount in recent years,7.0,0.12,0.38
3679,Able to invest in shares. Low fees.,10.0,0.25,0.46
3680,No reason,8.0,0.0,0.0
3681,Helpful Customer Service,9.0,0.0,0.0
3682,x,9.0,0.0,0.0
3683,Love the low fees & detailed statements. Can access my account online anytime I want and find the site very easy to navigate & utilise. The option to change investment preferences via online account is a big plus too.,10.0,0.29,0.55
3684,Need to provide advice on how to better my account and increase my balance.,2.0,0.5,0.5
3685,It is the only one I have,8.0,0.0,1.0
3687,"no reason,thanks.",8.0,0.0,0.0
3689,Excellent performance,9.0,1.0,1.0
3690,The minimum fees involved,7.0,0.0,0.0
3691,"I'm happy being a member and satisfied with the performance of my fund. I presently have no need, nor interest, to compare performance to other funds. Information flow is good via the online app.",9.0,0.38,0.59
3694,????,5.0,0.0,0.0
3695,Organisation has always been extremely helpful whenever I have called.,8.0,-0.12,1.0
3696,"i have had my super with you guys for a long time, when i first set up my salary sacrifice i had it all explained very well , but the next time i asked for assistance i did not get a satisfactory answer",8.0,0.15,0.34
3697,"Only if it came up in conversation. I do believe the fees are lower because it's an industry super fund, and did my research before changing to Australian Super, so if they wanted to know I would mention it",6.0,0.17,0.58
3698,Always good with low fees. I feel confident with Australian Super unlike my previous 1 where i lost 60% overnight.,9.0,0.23,0.43
3699,Excellent returns. Easy website to view account.,10.0,0.72,0.92
3700,Seem ok,9.0,0.5,0.5
3701,Good performer,8.0,0.7,0.6
3703,"Good online access for direct share purchases, would have been higher but you're a bit limited on the LIC's and ETF's that we're allowed to invest in (Buy)",8.0,0.24,0.41
3704,At the time of switching it was the best option. I have no idea if that has changed in the proceeding 3 years,7.0,1.0,0.3
3705,You have looked after my super very well,8.0,0.27,0.48
3706,good returns and very easy to change investments,10.0,0.63,0.8
3707,industry fund,8.0,0.0,0.0
3708,"Not impressed lately. I have had contributions go missing from December 2015 when I query I am told employer follow up, employer has been chasing for months through 2 people and still nothing. It makes me wonder what sort of effort you put into investing and how correct and accurate are your returns showing on my accounts. Simply, I didn't trust you",1.0,-0.12,0.53
3709,phone app is a plus,7.0,0.0,0.0
3710,Affordable and reliable,6.0,0.0,0.0
3711,everything is user freindly,9.0,0.0,0.0
3712,"Seems ok, haven't had problems",8.0,0.5,0.5
3713,No problem so far.,7.0,0.1,1.0
3714,Very frustrating and disappointing recent experience with a part withdrawal of funds.,7.0,-0.37,0.65
3715,I feel the insurance options could cover more,6.0,0.5,0.5
3717,"So far so good - easy to use, seems to be working in my favour, the customer service is excellent, and your app is pretty good too.",8.0,0.53,0.84
3721,"The only report I have received on my account was at the end of 2015 calendar year and it showed a negative return on a cash account. That result and the silence since then, doesn't inspire confidence.",4.0,-0.15,0.7
3722,No staff available to sit down and discuss investment.,7.0,0.12,0.34
3723,Have just consolidated all accounts into Australian Super,10.0,0.17,0.33
3724,The return and how easy and convenient it is to access and update anything that needs updating.,10.0,0.43,0.83
3726,It seems per perform reasonably,7.0,0.2,0.6
3727,industry fund. seems to perform ok. I would probably reccomend REST one small step above Australian Super due to better investment performance,7.0,0.14,0.36
3728,"Good fund, good returns, works well.",10.0,0.7,0.6
3731,Well for thier future retirement I guess,8.0,0.0,0.12
3732,I feel the costs of the business are getting out of control.,0.0,0.0,0.0
3733,all seems to be going well,8.0,0.0,0.0
3735,"Because of the fund size - allowing economic of scale (with capital $$ to invest in people, process and technology) - driving down costs (insurance, membership fees) and allowing continuous improvement in process and people - making decisive decision in a constant changing investment environments.",8.0,0.01,0.27
3737,Always been easy to deal with,9.0,0.43,0.83
3738,"Don't have a strong opinion, as haven't really dealt with Australian Super much. But no issues or negative feedback.",7.0,0.14,0.37
3739,"Easy to use, easy to manage online, decent growth and fees.",7.0,0.34,0.78
3740,Cause it well set up explain every thing clearly,10.0,0.1,0.38
3741,"Although I don't really have any problems with AustralianSuper, there could be improvements made. Besides that, I really don't like giving others advice on such matters.",5.0,0.13,0.3
3742,Good reputation,8.0,0.7,0.6
3744,"So far I have been happy with it, I could do with more updates though",9.0,0.47,0.83
3745,n/a,8.0,0.0,0.0
3746,I have had no issues with the fund and it has performed satisfactorily,7.0,0.0,0.0
3747,Just brilliant back up and service,10.0,0.45,0.5
3748,WE are happy with the service however do not have sufficient knowledge of other funds to really comment.,8.0,0.29,0.53
3749,I would recommend them but I do not know the market well enough to suggest that I have compared this to anything else.,8.0,0.0,0.5
3750,low cost. ok website. been with them since 2002,7.0,0.25,0.4
3751,I havent looked much at my Australia super account,5.0,0.27,0.43
3753,Reliable service,8.0,0.0,0.0
3754,Seems to work ok but does nothing particularly special,8.0,0.43,0.54
3755,I don't really think about it much to be honest,5.0,0.4,0.55
3756,t seems to be doing a good job.,10.0,0.7,0.6
3760,it was easy to transfer my old fund to Australian Super and also Colonial First State was performing very badly.,9.0,0.03,0.48
3761,Easily viewed and managed,10.0,0.43,0.83
3763,not sure,5.0,-0.25,0.89
3764,I don't know the comparative funds therefore I can't recommend one over the others.,5.0,0.0,0.0
3767,returns not meeting reasonably expectations. Australian Super's exposure to the inefficient monopoly of the Port Botany Container terminal. I am considering moving funds away from Australian Super.,6.0,0.17,0.39
3769,Low fees Consistent growth,10.0,0.12,0.28
3770,Good returns and low fees,10.0,0.35,0.45
3771,Seems to provide reasonable returns with low fees,7.0,0.1,0.45
3772,So far so good. Or maybe l should give my answer to this question after l find out how much my funds have grown by?,8.0,0.33,0.6
3773,Performance of the fund is not reflected in the earning. If my contributions are removed then just about all the increase is new money and little earnings.,3.0,-0.03,0.48
3775,don't have much to do with it really so don't have much to say,6.0,0.2,0.2
3776,"While there is no reason not to recommend Australian Super, it's just not a topic that comes up for conversation. But if I was asked for a recommendation I would happily put Australian super as my choice",3.0,0.29,0.47
3778,"I have only been with Australia Super for a relatively short time. So far so good, but my main rationale for recommendation would be the funds performance together with the level of fees I am charged.",7.0,0.22,0.65
3780,Has member direct,9.0,0.1,0.4
3781,No reason not too,6.0,0.0,0.0
3782,Easy DIY investment switching. Excellent investment options. Low fees. Helpful call centre.,10.0,0.48,0.71
3783,Easy,10.0,0.43,0.83
3784,It's not a fund I'd recommend for working children due to the fees.,5.0,-0.12,0.38
3785,Usual type of fund,5.0,-0.25,0.25
3786,great returns. Large funs. Money is safe due to size of fund. Easy to deal with on the phone,9.0,0.36,0.58
3787,I've heard that it s the best one to be with. Thru family and friends,10.0,1.0,0.3
3788,"I'm personally satisfied with Australian Super, so would be happy to recommend",9.0,0.41,0.67
3789,"Very difficult to obtain assistance in a timely manner, every request is difficult and time consuming!",0.0,-0.64,1.0
3790,I trust Australian Super.,10.0,0.17,0.33
3791,"Do a good job, albeit the computer access is very convoluted.",8.0,0.45,0.45
3792,"Big fund, reasonable returns.",8.0,0.1,0.35
3793,It functions well,7.0,0.0,0.0
3794,good returns,7.0,0.7,0.6
3796,Don't have enough knowledge,5.0,0.0,0.5
3798,Not much has happened in my super.,4.0,0.12,0.43
3799,Good investment performance.,9.0,0.7,0.6
3800,Ease of use,7.0,0.0,0.0
3801,always had positive results and great back up,10.0,0.34,0.43
3803,Not my field of expertise,0.0,0.0,0.0
3804,You have become impossible to deal with!,1.0,-0.83,1.0
3805,To my knowledge I have not received any information about my funds,5.0,0.0,0.0
3806,"I have not researched my Super at all, I have just been with AustralianSuper all along. Have not noticed any issues and it looks good to me but really don't know how it compares in the grand scheme of the Super World.",6.0,0.41,0.63
3807,I had to choose one,5.0,0.0,0.0
3808,Consistency,9.0,0.0,0.0
3809,in between,5.0,0.0,0.0
3810,Good service; good returns and prompt payment.,10.0,0.7,0.6
3811,* At this time until I see my money at the end of my life you have it. So look after it.,8.0,0.0,0.0
3812,"its an industry fund, not interested in sharing MY earnings with shareholders",10.0,-0.12,0.5
3813,Clearly show how fund growing,8.0,0.1,0.38
3814,i have had no issues with Aust super at this stage,8.0,0.33,0.67
3815,"performance, low costs, but the computer system and some errors are not acceptable ie. experienced an error in somebodies manual inputting.",7.0,0.4,0.6
3816,Their fees are low and investment performance is above average.,8.0,-0.05,0.27
3818,"Friendly, efficient service, reasonable return on investment, no unnecessary fees.",8.0,0.26,0.67
3819,"There seems to be a lot of options and information provided from within the fund. Similarly when I investigated the returns (over its history, though not since i've held within the fund) seem to be good, AusSuper seeming to be a good corporate citizen and due being one of the largest funds the expenses of the fund should be eating up proportionally less.",9.0,0.18,0.34
3820,i AM HAPPY WITH THE SERVICE I RECEIVE,8.0,0.8,1.0
3822,Not working retired,1.0,0.0,0.0
3823,Good consistent fund performance Website easy to use for changes to investment and contribution choices,9.0,0.46,0.56
3824,I have not had many dealings with them but it has always been a pleasant experience.,9.0,0.62,0.73
3825,"great to deal with, very helpful",9.0,0.5,0.53
3826,GOOD PERFORMANCE OVER TIME,7.0,0.7,0.6
3827,"Returns are decent, I think fees have remained low (I should probably check) but when I was trying to set up my super to pay life insurance through another provider it was not a good experience",7.0,0.04,0.56
3828,I don't get enough information on where my fund is investing. There is little oversight into the earnings and I get emails from Australian Super which are addressed to another person!,2.0,0.06,0.42
3830,Good returns,10.0,0.7,0.6
3831,why not,8.0,0.0,0.0
3832,Happy with results to date,8.0,0.8,1.0
3834,Australian Super has comparatively low fees and has been providing good returns.,9.0,0.26,0.39
3835,Information on fund,7.0,0.0,0.0
3836,It's an industry super fund. It has been doing well for me.,8.0,0.33,0.67
3837,Good service and can be trusted,10.0,0.7,0.6
3840,Easy to use online application,9.0,0.43,0.83
3842,Returns are good (so far).,9.0,0.4,0.8
3843,I am not informed enough about Australian super to recommend it,5.0,0.11,0.39
3844,its manageable,10.0,0.0,0.0
3845,Simply they're the best,10.0,0.5,0.33
3846,You provide great service and are consistently providing good returns. My husband use to have 4 different Super fund accounts and we set up a new Australian Super account for him and it was easy for him to transfer all his funds into one account. Thank you for making things simple.,10.0,0.3,0.52
3847,"I would have given you higher, but you have managed to stuff up our Life Insurance etc that was coming out of our super - which was fix a year ago. SO now are going through the whole process again which is not our problem. But needless to say extremely time consuming.",5.0,0.03,0.71
3849,"SIZEABLE, WELL RUN FUND PRODUCING GOOD RETURNS FOR MEMBERS WITH LOW COST OF MEMBERSHIP.",10.0,0.35,0.45
3851,"All Super Funds are the same, you advertise that they're not and you are different, but on my minimal fund, you take $350 a month to process 2 contributions from my employer (how can it cost you that much administration?) & then a random $7.50 fee as well... and then I'm certain there's commissions you pay that I simply cannot see. I don't recommend any SuperFunds, as you're all business still trying to make a profit. So much of my hard earned minimal money just disappears all way to often.",3.0,-0.02,0.48
3853,no communication from Australian Super at all.,0.0,0.17,0.33
3855,its easy to use,7.0,0.43,0.83
3856,"good product, good communication",9.0,0.7,0.6
3857,My advisor for Super has done a good job and I can't complain,10.0,0.52,0.63
3858,Extremely satisfy with my dealings and performance of the fund.,10.0,-0.12,1.0
3859,low fees and constantly good performance,9.0,0.35,0.45
3860,"Good fund, low fees",8.0,0.35,0.45
3861,Don't have friends who would like to change their super fund,7.0,0.33,0.67
3862,I feel I can trust this product,8.0,0.0,0.0
3863,"good service, easy to follow site",8.0,0.57,0.72
3864,I'm happy with everything.,10.0,0.8,1.0
3865,I'm with them !,10.0,0.0,0.0
3866,"I recently had to pay for insurance that I didn't need, I couldn't change it online because I had no funds in my account yet. I tried to rectify it over the phone but to no avail.",2.0,0.0,0.25
3867,It's up to them,0.0,0.0,0.0
3868,"Compared to others I've seen, the fees seem low and returns seem reasonable",10.0,0.1,0.45
3869,always friendly to deal with and always kept updated,10.0,0.38,0.5
3870,"good fund, already have recommended to family member. who has since changed to this fund",9.0,0.7,0.6
3871,cheap fees,6.0,0.4,0.7
3873,"Is OK fund, very large with average returns. Feels safe.",7.0,0.28,0.49
3874,"Lower cost and reasonable returns, with less risk",9.0,0.02,0.33
3875,As good as any other.,6.0,0.29,0.49
3876,i find them ok,8.0,0.5,0.5
3877,Doesn't seem that special,5.0,0.36,0.57
3878,It seems good.,10.0,0.7,0.6
3880,"Seem to be relatively easy to deal with, fees are too high, but lower than some others, so I guess that's ok. Better than a retail fund anyway.",8.0,0.4,0.59
3881,Pretty good performance and significant size of the fund,8.0,0.44,0.83
3882,Service is good,8.0,0.7,0.6
3883,Brilliant services,8.0,0.9,1.0
3885,easy to eal with,8.0,0.43,0.83
3886,Ethics,7.0,0.0,0.0
3887,It's a good industry based fund,9.0,0.7,0.6
3889,Fund performance is good but not the best. account management is easy to do,8.0,0.71,0.58
3890,Bad experiences last year. Received Super from Electoral Office. By the time I asked for a withdrawal--within days--- the fees exceeded the fund.,1.0,-0.12,0.47
3892,"Very productive, low fees",10.0,0.1,0.3
3893,lies about and annual interest rates. **** insurance policies compared to many other super companies. no real feed back when questions are asked... work it out for yourself.,0.0,0.12,0.37
3894,Good clear site. Happy with the options provided.,9.0,0.53,0.66
3895,Happy with performance,10.0,0.8,1.0
3896,"Easy online access, easy to understand and make changes",10.0,0.43,0.83
3898,"Performs well, low fees",7.0,0.0,0.3
3899,Not the best fund at the moment just OK,7.0,0.75,0.4
3900,Reasonable returns and low fee structure. Good MIS on account information.,8.0,0.3,0.5
3901,"you have the ability to buy individual stocks within super fund, semi acting like a SMSF, but without the cost and hassle.",9.0,0.11,0.36
3902,Not quite as good as WestScheme,5.0,0.7,0.6
3903,It's good to us,10.0,0.7,0.6
3904,It is an industry Super Fund and delivers about what is expected.,5.0,0.12,0.53
3906,"Seems to be ok. Not sure whether I am getting good value for money (via high returns, low fees)",7.0,0.22,0.57
3907,Performance and continual systems problems with changes,7.0,0.0,0.0
3908,"Low Fee, Online Access",9.0,0.0,0.3
3909,good,10.0,0.7,0.6
3910,not sure how it works,5.0,-0.25,0.89
3911,Great returns,9.0,0.8,0.75
3912,My husband tells me the shares the fund has are about to go up which is good for me??,8.0,0.7,0.6
3913,have already recommended to family members,7.0,0.0,0.0
3914,I think they are good,10.0,0.7,0.6
3915,"good investment returns, not for profit. Good, easy website.",7.0,0.61,0.68
3916,All the same rip offs,0.0,0.0,0.12
3917,"Seems to be ok with management of funds, reasonable growth",8.0,0.35,0.55
3918,Good returns,9.0,0.7,0.6
3919,"Ambivalent to the super fund, it is not accelerating as quickly as I would like",3.0,0.33,0.58
3920,"no problems at all, easy to deal with and good returns",9.0,0.57,0.72
3922,I receive timely information and it is Is performing relatively well,9.0,0.0,0.0
3923,"Having been stuffed around for the last few months, simply by, the left hand doesn't know the right hand is doing",0.0,0.02,0.21
3924,I am a member,9.0,0.0,0.0
3925,Great service,9.0,0.8,0.75
3926,"Easy to deal with, good customer service",7.0,0.57,0.72
3927,"satisfaction, peace of mind",10.0,0.0,0.0
3929,Efficiency web site. Reasonable return.,9.0,0.2,0.6
3930,Don't know enough about any other super,5.0,0.07,0.51
3931,Don't care about super,0.0,0.33,0.67
3932,Am happy with the growth of funds,10.0,0.8,1.0
3933,Good returns,10.0,0.7,0.6
3934,Have no complaints about you fund,8.0,0.0,0.0
3935,Secure and high earner.,10.0,0.28,0.57
3937,happy with them,9.0,0.8,1.0
3938,Good updates. Size of the overall fund and options available.,8.0,0.37,0.33
3939,.,7.0,0.0,0.0
3940,I would like more choice in the pension phase but am reasonably happy.,8.0,0.65,0.75
3941,I have no clue what the advantages are from one to another. My work has this fund. Its as complicated as health funds!!!! Im sure you like that way,0.0,-0.25,0.94
3942,Accessable and reliable to date,7.0,0.0,0.0
3944,Reliable,10.0,0.0,0.0
3945,Easy to fallow up.,10.0,0.43,0.83
3947,Have always been with Australian Super and find the customer service excellent.,10.0,0.44,0.56
3948,DONT KNOW,9.0,0.0,0.0
3949,Because of the great returns and good service over the phone,10.0,0.75,0.68
3950,Seems like good value and low fees,8.0,0.35,0.45
3952,Reliable easy to manage,10.0,0.43,0.83
3953,"Product satisfys a need, but I do not see any reason to recommend over other suppliers",5.0,-0.12,0.38
3954,Have always been good with my money.,8.0,0.7,0.6
3955,NO REASON,10.0,0.0,0.0
3958,always performs to my expectations,9.0,0.0,0.0
3959,We just don't talk about it.,5.0,0.0,0.0
3960,Indifferent to it,5.0,0.0,0.0
3961,Australian Super takes forever to answer a request!!!!!!!,1.0,0.5,0.33
3962,"They have always been approachable,easy to contact and very helpful.",9.0,0.2,0.3
3963,Indifferent.,5.0,0.0,0.0
3964,.,8.0,0.0,0.0
3965,Seem to have good fees,5.0,0.7,0.6
3966,Because I always trust Australian Super,10.0,0.17,0.33
3967,Performance,7.0,0.0,0.0
3968,Good returns.no fee's,10.0,0.7,0.6
3969,I feel safe with Australian Super,10.0,0.28,0.39
3970,I get ? 2 statements a year. No other contact from the fund.,5.0,0.06,0.38
3972,"After recently speaking to a consultant quering this years (2016) financial statement, I was informed that my superannuation account was approaching $0.00. Funds deposited to my account during the course of the year had been absorbed in member fees and insurance. Insurance that gives me no benefit in my current work status. I was further informed that my account was likely to be closed due to lack of funds, ultimately offering me no long term retirement benefit. My account was opened last year. I am a casual employee.",0.0,-0.03,0.45
3973,Friendly staff. Excellent product,10.0,0.69,0.75
3974,Good returns & reasonable fees.,10.0,0.45,0.6
3975,Already with aust super,6.0,0.33,0.67
3977,Good returns,9.0,0.7,0.6
3978,good returns low fees,10.0,0.35,0.45
3979,"Because my balance is actually increasing, unlike my former fund Russell Supersolution",10.0,0.0,0.05
3980,I am satisfied with the performance and administration of my super fund under Australian Super. I appreciate the regular communication from the Fund. However the fees are of concern.,8.0,0.23,0.48
3981,"Low fees, reliable fund.",8.0,0.0,0.3
3983,"I haven't had any troubles with the SF & have been with the same Super from the beginning but feel pulled to support & put my money with a company that will invest as ethically as possible. So will be changing, as my views have changed I want to support the environment and health wherever I can",6.0,0.11,0.6
3984,"Good returns, low fees & helpful staff.",9.0,0.35,0.45
3985,Needs more info.,5.0,0.5,0.5
3987,Good product low fees,8.0,0.35,0.45
3988,There is always room for improvement.,9.0,0.0,0.0
3990,feel very confident,10.0,0.65,1.0
3991,low costs,7.0,0.0,0.3
3992,"Not too aware of others. Although this last two years not been happy with the returns as per previous years and concerned whether it's the fund, so more weary to recommend to others. like the internet access and clarity.",7.0,0.28,0.4
3994,AustralianSuper has been doing well for the time I have been a member.,10.0,0.0,0.0
3996,Very easy to deal with.,9.0,0.56,1.0
3997,great returns,9.0,0.8,0.75
3998,Industry funds seem to out perform other funds for the employee,10.0,-0.12,0.38
3999,Because it is an industry super fund and is currently performing well,10.0,0.17,0.53
4000,"After being ripped off for years in fees by other funds, I have recomended Australian Super to a few mates who are still being charged a lot more than they should be.",10.0,0.1,0.33
4001,Consolidating all my funds a few years ago was easy and the discussion with your finance consultant to decide on the best way to set up my fund was helpful. The entire experience was much less painful than I expected it to be.,10.0,0.04,0.46
4002,It has low fees but it's not very ethical. I would recommend an ethical super fund before Australian Super.,4.0,0.13,0.45
4003,"Admin fee is fixed while investment fees seem reasonable to date. Though insurance premium seem a bit too high while provide not enough cover, i.e. if I were to choose higher cover, I would be charged even higher.",6.0,0.16,0.47
4004,I have a financial friend who says fees are low and ease of webpage,8.0,0.0,0.15
4005,"provides a lot of options, more options than most, from what I've seen",8.0,0.5,0.5
4006,Low fees.,7.0,0.0,0.3
4007,Returns as good as most companies I have looked at. Low fees. No fee increases year on year. Good insurances. Great service when I call or webchat.,9.0,0.54,0.55
4008,All seems to be going well since I started it,8.0,0.0,0.0
4009,I feel the admin cost is high at Australian super,6.0,0.16,0.4
4011,Reliable and secure,9.0,0.4,0.6
4012,investment returns are OK,8.0,0.5,0.5
4013,"Large fund, good returns, well managed",10.0,0.46,0.51
4014,Performs well,10.0,0.0,0.0
4015,I recommend Australian Super quite often to clients,7.0,0.17,0.33
4016,the return on investment . easy to change investment types.,10.0,0.43,0.83
4017,no problems soo far,9.0,0.1,1.0
4018,Fees charges are competitive,8.0,0.0,0.0
4019,Aus Super has made me money and are very efficient when I have needed help.,9.0,0.27,0.48
4020,best,10.0,1.0,0.3
4021,good service,9.0,0.7,0.6
4022,no,8.0,0.0,0.0
4024,?,5.0,0.0,0.0
4026,Always helpful when I have contacted them and also great user friendly website,9.0,0.59,0.62
4027,Good interest rate. Many options to choose from in terms of different investment options. Good communication with members.,8.0,0.47,0.58
4028,"user friendly, easy to contact, speak to real people not machines",8.0,0.34,0.54
4029,It is a personal choice,5.0,0.0,0.3
4030,"Performance has been good over a number of years. Although I have only withdrawn funds on three occasions, there were no problems and the funds were deposited to my account quickly. It is very easy to access my account online and to change where the money is invested.",10.0,0.42,0.87
4031,good company,5.0,0.7,0.6
4032,Low fees competitive returns,9.0,0.0,0.3
4034,Am aware of better funds like healthcare or government workers have access to,1.0,0.38,0.38
4035,The user-interface is easy to use and the information is easy enough to find.,7.0,0.29,0.72
4036,I just combined all my funds into this one for convenience and do not know the full benefits as of yet.,5.0,0.35,0.55
4037,Aust super appears to put members' needs first,8.0,0.29,0.5
4039,maintenance fees,6.0,0.0,0.0
4040,Deeded,8.0,0.0,0.0
4041,I'm very happy with Australian super,10.0,0.44,0.56
4044,All my friends have there own,0.0,0.6,1.0
4045,"good communication and updates on everything relating to, and affecting superannuation.",10.0,0.7,0.6
4046,Provide good service and good rate of return,8.0,0.7,0.6
4047,Low fees and good performance,10.0,0.35,0.45
4048,"so far so good. Low fees, reasonable return No tricks",9.0,0.25,0.62
4049,return low,5.0,0.0,0.3
4051,"Over the time I have been a member, Australian Super has performed well and built my account toward my retirement goal.",10.0,0.17,0.33
4052,I don't really know anything about the fund,1.0,0.2,0.2
4053,I don't know any better,7.0,0.5,0.5
4054,get good returns since I have been in it,10.0,0.7,0.6
4055,Unable to continue the draw down payments request that you had done for several years due to you now outsourcing your pension payments. I want to change to a super that can comply with a simple request.,7.0,-0.07,0.36
4056,care level,3.0,0.0,0.0
4057,Returns are always good based on current market situations. Customer service also good,9.0,0.47,0.53
4058,"Have not had any issues, rates are good.",10.0,0.7,0.6
4059,Better than banks and Insurance companies,9.0,0.5,0.5
4060,Do not know much about aust super,3.0,0.27,0.43
4061,"GREAT RETURNS, LOW FEES, FRIENDLY SERVICE",10.0,0.39,0.52
4062,"Good returns, ethical (hopefully), easy to manage/access.",9.0,0.44,0.68
4063,No issue with the account so likely to recommend. Not enough knowledge about super accounts to be able to highly recommend it however.,4.0,0.2,0.67
4064,They have done a fantastic job with my super and now pension keep up the great work.,10.0,0.51,0.77
4065,Good returns & service,9.0,0.7,0.6
4066,Been happy with the fund from day dot...[ except for the fees ],6.0,0.8,1.0
4067,They keep me informed and appear to keep our funds financially buoyant.,9.0,0.0,0.0
4068,Eventually enabled me to access Super during an economical hardship phase of my life more easily and readily than other Super funds. Although the 1 year waiting period before access accumulated a massive debt that could have been averted if I could access my super in 3 months rather than a year,5.0,0.26,0.68
4069,The great rate of return.,9.0,0.8,0.75
4070,They have always helped me when I have an enquiry.,10.0,0.0,0.0
4071,Satisfied,8.0,0.5,1.0
4072,It's the only fund I know and use,10.0,0.0,1.0
4073,"Easy to understand - good returns, no hassles",10.0,0.57,0.72
4074,easy to deal with,7.0,0.43,0.83
4075,They are one of the lowest fee funds.,8.0,0.0,0.0
4076,so far so good.,6.0,0.4,0.8
4077,"Good return, Government Backd , easy access to accounts",8.0,0.57,0.72
4078,I don't know much about super and I NEVER recommend things to anyone,0.0,0.27,0.43
4079,Im very happy with Australian super The only issue i have is that i can not increase my death and income protection over the phone all online,9.0,0.33,0.67
4080,I am satisfied with what they offer,7.0,0.5,1.0
4081,"Australian Super (AS) is my workplace super fund, I haven't had any negative experiences with AS however, I also haven't explored any other funds either",7.0,0.05,0.42
4082,I dont fully understand Super. More free services to explain benefits and ways to use super better would be benefical,7.0,0.41,0.63
4084,"not sure probably too long being with the company without any foreesable benefit,",7.0,-0.15,0.64
4085,Portfolio Selection,8.0,0.0,0.0
4086,Were able to help me when I was injured from being assaulted and unable to work. Helped me access my super to save our family home from foreclosure.,8.0,0.11,0.6
4087,"NOT FOR SHAREHOLDERS PROFIT, FOR MEMBERS PROFIT ONLY.",8.0,0.0,1.0
4088,Reliability and helpful,10.0,0.0,0.0
4090,i was with WestScheme and believed they they provided an excellent service. I see similar service indicators with Austn Super,7.0,0.44,0.69
4091,great service and returns,10.0,0.8,0.75
4092,"So far, the fund has been good. Whilst many people lost a lot of money during the GFC, I lost money but not as much as others.",8.0,0.37,0.58
4093,Consistent returns,9.0,0.25,0.25
4094,non profit great service hassle free,8.0,0.6,0.78
4095,"low fees, returns with the top 10 funds over many years and I like the new direction of infrastructure & Commercial property investment options, that should give more even growth over time (than a volatile equities market).",10.0,0.27,0.38
4096,I am very happy with Australian Super,10.0,0.44,0.56
4097,Fund has performed well over time and is well managed.,8.0,0.0,0.0
4098,very helpful,10.0,0.2,0.3
4099,"Safe, low fees",9.0,0.25,0.4
4100,Steady performance over the years.,9.0,0.17,0.5
4101,It gives good returns.,8.0,0.7,0.6
4102,The service has always been good I seem to be able to speak to a person when I ring so far,9.0,0.43,0.74
4103,I have had excellent relationships with advisors etc.,10.0,1.0,1.0
4104,Customer responses to queries are slow.,8.0,-0.3,0.4
4105,Very happy with Administration costs.,10.0,1.0,1.0
4107,Australian Super provides a great service and return. I don't know enough about other fund providers to make a satisfactory comparison.,8.0,0.2,0.46
4108,"Over a period of years I've always been confident of how AS operates, especially after the initial hick-ups re the online presence",8.0,0.17,0.61
4109,None of my business.,0.0,0.0,0.0
4110,fees are not too much,8.0,0.2,0.2
